Number,Abstract
27,"Purpose: The aim of this study was to examine the effect of 3- vs. 2-minute inter maximal-repetition rest period (IMRRP) on maintaining jerk technical efficiency and power production during two successive maximal repetitions of Clean & Jerk (C&J). Methods: In a randomized, within subject, repeated measures design, nine elite-weightlifters (age: 24.4 ± 3.6 years, body mass: 77.2 ± 7.1 kg, height 176.0 ± 6.4 cm and 1RM C&J: 170.0 ± 5.0 kg) performed 2-separate testing sessions using 2 (IMRRP-2) and 3 (IMRRP-3) -minute IMRRP, while barbell kinematics and kinetics and joint kinematics were recorded. Results: Statistical analysis showed that one minute longer IMRRP enhanced the maintenance of optimal jerk technique evidenced by reducing declines in peak vertical barbell displacement (2.74%; p = .03), peak barbell velocity (2.89%; p = .03), and peak knee (1.61%; p = .03) and hip extensions (1.59%; p = .03) during the drive phase of the jerk. Additionally, IMRRP-3 led to maintaining optimal lifting strategy by reducing the increase in horizontal displacement during the descending (3.85%; p = .04) and ascending (5.42%; p = .02) phases. Increasing IMRRP from 2min to 3min was also shown to enhance kinetic variables evidenced by prompting higher peak vGRF (2.01%; p = .04) and power (2.55%; p = .04). Conclusion: To better identify an athlete’s maximal jerk technique and power maintenance, the results of this study suggest 3min as more appropriate IMRRP during successive C&J at 100% 1RM."
28,"In basketball, game-related statistics are the most common measure of performance. However, the literature assessing their reliability is scarce. Purpose: Analyze the number of games required to obtain a good relative and absolute reliability of teams’ game-related statistics. Method: A total of 884 games from the 2015–2016 to 2017–2018 seasons of the Spanish men’s professional league were analyzed using all games and clustered by scoring difference. Intra-class correlation coefficient (ICC) was calculated for each variable. The number of games required to detect a change and to achieve good relative reliability was calculated using minimal detectable change and Spearman-Brown prophecy formula respectively. Results: Using all games, the results showed that the minimal number of games required in each group was 30 to detect a medium change (d > .5), 187 for a small change (d > .2), and 100 for good relative reliability (ICC = .75). Using balanced and unbalanced games, the minimal number of games required in each group was respectively 31 and 30 to detect a medium change (d > .5), 190 and 188 for a small change (d > .2), and 191 and 121 for good relative reliability (ICC = .75). Conclusions: The sample needs to consist of at least 30 games in each group to detect a medium size change, and at least 190 games to detect a small size change. To be able to rank teams with good reliability, at least 100 games are required when including both balanced and unbalanced games."
29,"Purpose: Heat intolerance (HI) is determined in the Israel Defense Force according to a heat tolerance test (HTT) before returning to duty after an exertional heat stroke (EHS) event. Recently, increased numbers of female combatants resulted in an increased number of EHS cases among women and a higher percentage of heat intolerance (HI) individuals. We aimed to evaluate the differences between tolerance to heat among women performing an HTT in relation to their menstrual cycle phase. Method: Thirty-three female participants were sorted into two groups: HI and heat tolerant (HT) according to two HTTs performed during both the luteal and follicular phases of the menstrual cycle or while consuming and during a break from consuming contraceptives. Results: HT women had an 18% higher maximal oxygen uptake (p < .005, 95% CI [2.6,9.8]) and 1.2% lower skin temperature in the HTT at the during and follicular phases (p < .01, 95% CI [0.12,0.77]) and 1.7% lower at the off and luteal phases (p < .001, 95% CI [0.34,0.92]). The mean sweat rate was 14% lower among the HI group only at the HTT at the during and follicular phases (p < .05, 95% CI (3,88)]). Conclusion: We found that HT can be predicted using aerobic capacity and core body temperature. Moreover, during the luteal phase, women presented altered thermoregulation that decreased the probability of being HT. This emphasizes the importance of considering the HT/HI criteria in the HTT for women, according to their aerobic ability and menstrual-cycle phase."
30,"Purpose: This study investigated the effects of the menstrual cycle on running economy (RE). Method: Eleven eumenorrheic female athletes (mean age: 21.18 ± 3.65 years, height: 170.2 ± 6.6 cm, VO2max: 49.25 ± 9.15 mL·kg-1·min-1, and menstrual cycle: 29.8 ± 0.98 days) were tested for anthropometric variables, physiological responses (oxygen consumption [VO2], blood lactate [LA], heart rate [HR], and respiratory exchange ratio [RER]) at rest and while running. The RE was measured at speeds of 75%, 85%, and 95% of the lactate threshold at 3.5 mmol·L-1 during the follicular (FP) and luteal phases (LP) of the menstrual cycle. The RE was evaluated as oxygen consumption (mL·kg·min-1 [O2C_min], mL·kg-1·km-1 [O2C_km]) and caloric unit cost (kcal·kg-1·km-1 [EC]) during both phases. Results: There were no significant differences in body composition or resting physiological measurements between the LP and FP (p > .05). Physiological responses measured during RE tests were similar in both phases (p > .05). The RE measured as O2C_min, O2C_km, and EC was significantly lower during the LP than during the FP (p < .05). The RE defined as O2C_ min significantly increased with speed (p < .05), but RE defined as O2C_km and EC was unaffected by speed increment (p > .05). Conclusions: The RE is better in the LP than the FP and is independent of running speed when RE is evaluated as O2C_km and EC. The menstrual cycle had no effect on body composition and physiological variables measured at rest."
31,"Purpose: The aim of this study was to compare the widely used accelerometer activity cut-points derived from the absolute moderate intensity recommendation (3<U+2012>6 METs), with relative intensity cut-points according to maximal cardiorespiratory fitness (46%<U+2012>63% V<U+02D9>O2max) and to individual lactate thresholds (LT1 and LT2) in postmenopausal women. Method: Thirty postmenopausal women performed several exercise tests with measures of heart rate, blood lactate, accelerometer activity counts and oxygen consumption. Individual regressions were developed to derive the accelerometer activity counts at absolute and relative moderate intensity recommendations and at individual LTs. Results: The activity counts calculated at the lower moderate intensity boundary were lower for the absolute 3 METs threshold (2026 ± 808 ct·min-1) compared to relative 46 % V<U+02D9>O2max intensity threshold (p < .01, ES: 1.95) and LT1 (p < .01, ES: 2.27), which corresponded to 4.6 ± 0.7 METs. The activity counts at the upper moderate intensity boundary were higher for LT2 (7249 ± 2499 ct·min-1) compared to the absolute 6 METs threshold (p < .01, ES: 0.72) and relative 63% V<U+02D9>O2max intensity threshold (p < .01, ES: 0.55). The interindividual variability in activity counts at relative intensity thresholds was high (CV = 30–34%), and was largely explained by cardiorespiratory fitness level (R2 = ~ 50%). Conclusion: Individually tailored (relative to V<U+02D9>O2max or submaximal LTs) rather than fixed accelerometer intensity cut-points derived from the classic absolute moderate physical activity intensity (3–6 METs) would result in a more accurate measurement of an individual´s activity levels and reduce the risk of overestimating or underestimating physical activity."
32,"Purpose: The aim of the study was to analyze the accuracy of impedance cardiography (ICG) for hemodynamic assessment in wheelchair rugby players during rest and exercise. Method: The study included 21 players (mean age 33.0 ± 5.4, 86% male) with posttraumatic tetraplegia. ECG, echocardiography, and gas exchange analysis during rest and exercise were used to obtain heart rate (HR), stroke volume (SV), and cardiac output (CO) for comparison with PhysioFlow®. Results: There was a good correlation between reference methods and ICG for HR, SV, CO at rest and CO at peak exercise (r = 0.69–0.77, p < .001) and a very good correlation for peak HR (r = 0.91, p < .0001). ICG overestimated SV at rest, CO at rest, and peak CO, which resulted in low intraclass correlation coefficients (ICC = 0.250 and 0.570). Conclusions: ICG can serve as a good estimate of basic hemodynamic parameters during rest and exercise in wheelchair rugby players but overestimates stroke volume and cardiac output."
33,"Purpose: The purpose of this study was to adopt an explicitly intersectional approach to examine the experiences of women identifying as having a visual impairment and as being overweight or obese in integrated physical education (PE). Method: An interpretative phenomenological analysis (IPA) research approach was used, and six women (ages 25–34) with visual impairments who identified as being overweight or obese acted as participants. The sources of data included semistructured audiotaped telephone interviews and reflective interview notes. Data were analyzed thematically using a three-step analytic process informed by IPA. Results: Based on the data analysis, three inter-related themes emerged. The first theme, restricted/reluctant participation, described participants’ experiences with PE activity restrictions and the influence of visual impairment and overweight or obesity on these restrictions. The second theme, teacher discrimination, described participants’ recollection of discriminatory practices by physical educators that were influenced by perceptions of inability. Finally, the third theme, isolation, teasing and surveillance issues, described challenging social instances and how those instances were influenced by body size and disability status. Conclusions: Using an IPA approach, three themes emerged that exposed central experiences that were informed by the participants’ identities as individuals with visual impairments and being overweight or obese. Through the lens of intersectionality, these themes contribute to our understanding of how these identities interacted to contribute to disadvantaging experiences in PE."
34,"Purpose: This study examined the relationships between the Yo-Yo Intermittent Recovery Test level 1 (Yo-Yo IR1) and resting heart rate variability (HRV) and submaximal 5'-5' test derived measures in novice male soccer players. Methods: Forty players (11.54 ± 0.58 years) from a soccer academy participated in this study, performing physical tests on two different days, separated by 48 h, as follows: (day 1) resting HRV and Yo-Yo IR1 test, and (day 2) anthropometric assessments (for peak height velocity assessment [PHV]) and the 5'-5' test. The Pearson product-moment correlation coefficient was used to determine the correlations between Yo-Yo IR1 performance and the remaining variables. A partial correlation analysis was further performed using age, stature, body mass, distance to PHV, and age at PHV as “confounders.” Results: The highest correlation score was observed between Yo-Yo IR1 performance and resting HRV, when the absolute age was used as confounder (r = 0.72; p < .05). Conclusions: We observed that a practical measure of parasympathetic activity at rest is largely associated with performance obtained during a traditional intermittent endurance performance test."
35,"Purpose: Given criticism of P-12 physical education and wide variability in instructional quality and subject matter outcomes in the United States (US), a national curriculum has been debated by some scholars as a mechanism for improving the status of the subject matter. Grounded in the systemic reform (SR) model, the purpose of this study was to explore physical education teacher education (PETE) leaders’ perceptions regarding the implementation of a national curriculum. Method: In total, 28 individuals participated in in-depth interviews that were inductively/deductively coded and triangulated. Results: Themes indicated that nationalizing the curriculum has the potential to offer explicit educational goals, substantial pedagogical guidelines, and valid assessments. Despite recognizing the potential benefits of national curriculum, however, the majority of participants were opposed because of the inflexibility of such a system in the culturally and geographically diverse school contexts across the US. Conclusions: The concept of national curriculum can be differently interpreted in different countries based on sociocultural, historical, and contextual factors, and its relevance depends primarily on one’s perceptions and previous experiences."
36,"Purpose: The purpose of this study was to evaluate the agreement of five commercially available accelerometers in estimating energy expenditure while performing an acute bout of high-intensity functional training (HIFT). Methods: Participants (n = 47; average age: 28.5 ± 11.6 years) consisted of recreationally active, healthy adults. Each participant completed a session of HIFT: a 15-minute workout consisting of 12 repetitions each of air-squats, sit-ups, push-ups, lunges, pull-ups, steps-ups, and high-knees; performed circuit-style by completing as many rounds as possible. During this session, each participant wore the Cosmed K4b2 portable metabolic analyzer (PMA) and five different accelerometers (ActiGraph GT3X, Nike Fuelband, Fitbit One, Fitbit Charge HR, and Jawbone UP Move). Results: Four of the five activity trackers reported lower (p < .05) total EE values compared to the PMA during the acute bout of HIFT. The waist-mounted device (ActiGraph, 182.55 ± 37.93 kcal) was not significantly different from, and most closely estimated caloric expenditure compared to the PMA (144.99 ± 37.13 kcal) (p = .056). A repeated-measures ANOVA showed that all activity trackers were significantly different from the reference measure (PMA) (p < .05). Systematic relative agreement between the activity trackers was calculated, exhibiting a significant ICC = 0.426 (F [46,230] = 5.446 [p < .05]). Conclusion: The wrist- and hip-mounted activity trackers did not accurately assess energy expenditure during HIFT exercise. With the exception of the ActiGraph GT3X, the remaining four activity trackers showed inaccurate estimates of the amount of kilocalories expended during the HIFT exercise bout compared to the PMA."
37,"Purpose: The purpose of this study was to investigate (a) time-dependent changes in muscle damage (MD) biomarkers, oxidative stress (OS) indices, and maximum strength performance; (b) the relationship between changes in maximum strength performance and changes in MD and OS indices; and (c) whether eccentric exercise-induced MD is related to OS. Method: Twenty-nine male volunteers (age: 22.13 ± 3.1 years) participated in the study. Participants performed 60 maximal eccentric actions of the elbow flexors at a constant velocity of 60°·s-1. Maximum isokinetic strength (MIS), visual analog scale soreness scores, serum creatine kinase (CK) activity, total antioxidant status, total oxidant status (TOS), protein carbonyl (PCO), and 8-hydroxydeoxyguanosine level were analyzed. Blood samples were obtained before, immediately after, and 24 h, 48 h, and 96 h after the eccentric exercise. Change in total work (%<U+0394>TWk), peak torque (%<U+0394>PT), and OS index were calculated. Results: CK, PCO, and TOS significantly increased over time (p < .05). However, no significant main effect was observed for MIS or any other investigated biomarkers (p > .05). MIS was not related to MD or OS indices. However, %<U+0394>TWk demonstrated a moderate inverse correlation with OS indices. No significant relationship was observed between %<U+0394>PT and any of the selected biomarkers. Conclusions: Our findings confirm the hypothesis that acute eccentric exercise increases MD biomarkers and OS indices. However, indices of OS damage were significantly related, particularly, to the strength loss of flexors. This finding suggests that the decline in strength performance is not the primary determinant of the magnitude of MD following voluntary eccentric contraction."
38,"Purpose: Most built environment studies have quantified characteristics of the areas around participants’ homes. However, the environmental exposures for physical activity (PA) are spatially dynamic rather than static. Thus, merged accelerometer and global positioning system (GPS) data were utilized to estimate associations between the built environment and PA among adults. Methods: Participants (N = 142) were recruited on trails in Massachusetts and wore an accelerometer and GPS unit for 1–4 days. Two binary outcomes were created: moderate-to-vigorous PA (MVPA vs. light PA-to-sedentary); and light-to-vigorous PA (LVPA vs. sedentary). Five built environment variables were created within 50-meter buffers around GPS points: population density, street density, land use mix (LUM), greenness, and walkability index. Generalized linear mixed models were fit to examine associations between environmental variables and both outcomes, adjusting for demographic covariates. Results: Overall, in the fully adjusted models, greenness was positively associated with MVPA and LVPA (odds ratios [ORs] = 1.15, 95% confidence interval [CI] = 1.03, 1.30 and 1.25, 95% CI = 1.12, 1.41, respectively). In contrast, street density and LUM were negatively associated with MVPA (ORs = 0.69, 95% CI = 0.67, 0.71 and 0.87, 95% CI = 0.78, 0.97, respectively) and LVPA (ORs = 0.79, 95% CI = 0.77, 0.81 and 0.81, 95% CI = 0.74, 0.90, respectively). Negative associations of population density and walkability with both outcomes reached statistical significance, yet the effect sizes were small. Conclusions: Concurrent monitoring of activity with accelerometers and GPS units allowed us to investigate relationships between objectively measured built environment around GPS points and minute-by-minute PA. Negative relationships between street density and LUM and PA contrast evidence from most built environment studies in adults. However, direct comparisons should be made with caution since most previous studies have focused on spatially fixed buffers around home locations, rather than the precise locations where PA occurs."
39,"Purpose: This study aimed to investigate if player tactical skill level and age category influence team performance and player exploratory behavior in tasks with different difficulty levels. Method: In total, 48 youth male soccer players participated in the study (U15, n = 24, mean age = 13.06 ± 1.53 years; U17, n = 24, mean age = 16.89 ± 0.11 years). Player tactical skills were evaluated through the System of Tactical Assessment in Soccer (FUT-SAT), allowing them to be organized into three groups according to tactical efficiency: Higher tactical skill level (Group 01), Intermediate tactical skill level (Group 02), and Lower tactical skill level (Group 03). Next, Group 01 and Group 03 of both categories performed six Small-Sided and Conditioned Games (SSCG) each, namely three High difficulty SSCGs and three Low difficulty SSCGs. Team performance and players’ exploratory behavior were analyzed through the Offensive Sequences Characterization System and Lag Sequential Analysis, respectively. Results: We found that team performance and players’ exploratory behavior were influenced both by the age and tactical skill level of the players, as well as by task difficulty level. Conclusion: Therefore, in an attempt to improve player performance, practitioners must carefully manipulate key task constraints to adapt training task difficulty levels to player age and tactical skill level."
40,"Purpose: Maximal heart rate (MHR) is an important physiologic tool for prescribing and monitoring exercise in both clinical and athletic settings. However, prediction equations developed in adults may have limited accuracy in youth. The purpose of this study was to systematically review and analyze the available evidence regarding the validity of commonly used age-based MHR prediction equations among children and adolescents. Methods: Included articles were peer-reviewed, published in English, and compared measured to predicted MHR in male and female participants <18 years old. The standardized mean difference effect size (ES) was used to quantify the accuracy of age-predicted MHR values and a priori moderators were examined to identify potential sources of variability. Results: The cumulative results of 20 effects obtained from seven articles revealed that prediction equations did not accurately estimate MHR (ES= 0.44, p < .05) by 6.3 bpm (bpm). Subgroup analyses indicated that the Fox equation (MHR = 220–age) overestimated MHR by 12.4 bpm (ES = 0.95, p < .05), whereas the Tanaka equation (MHR = 208–0.7*age) underestimated MHR by 2.7 bpm (ES = -0.34, p < .05). Conclusions: Age-based MHR equations derived from adult populations are not applicable to children. However, if the use of age-based equations cannot be avoided, we recommend using the Tanaka equation, keeping in mind the range of error reported in this study. Future research should control for potential pubertal influences on sympathetic modulation during exercise to facilitate the development of more age-appropriate methods for prescribing exercise intensity."
41,"Purpose: This study aimed to examine the effect of gradual self-control of task difficulty and feedback on accuracy and movement pattern of the golf putting sport skill. Method: Sixty students were quasi-randomly assigned to four groups under a varying combination of the two factors of task difficulty control (self-controlled or yoked) and feedback control (self-controlled or yoked). The participants in the two groups (dual-factor gradual self-control and self-controlled task difficulty group) that granted control over task difficulty in the acquisition phase were told they could choose any of the pre-set distances from the target. All groups were given 100% feedback in the first half of the acquisition phase, but the participants in the two groups (dual-factor gradual self-control group and self-controlled feedback) that could control their feedback were told that in the second half of the acquisition phase they would be able to ask for feedback when needed. The practice schedule of each member of the dual-factor gradual self-control group was used as a basis to plan the practice of predetermined distances and feedback presentation to the corresponding participants in the yoked conditions. Results: ANOVA with repeated measures showed that the practice method involving gradual self-control of two factors had a positive impact on accuracy and movement pattern of golf putting in the retention and transfer tests compared to other methods (ps < .05). Conclusion: The advantages of self-control practice presumably come from better adjustment of challenge points by the learner in the course of the practice."
42,"Purpose: Trampoline parks are becoming popular in many countries, providing recreational facilities for children and adults. This study investigated the effects of trampoline training on knee muscles strength and balance in young adults. Methods: Twenty-six participants (14 males, 12 females) were randomized into trampoline training (TT) and resistance training (RT) groups to undergo a 6-week supervised intervention program (2 × 30 min per week). TT group performed basic trampoline exercises while the RT group performed resistance training targeting lower extremities muscles. Peak knee extension and flexion torque, postural sway characteristics, and Y balance test (YBT) performance were evaluated before and after the intervention. A mixed model analysis of variance (group × time) was applied. Results: After training there were significant improvements in knee extension torque (mean differencepost-pre [95% CI], TT: 0.27 [0.00, 0.54] N·m/kg, RT: 0.31 [0.09,0.54] N·m/kg, p = .001), knee flexion torque (TT: 0.25 [0.17,0.33] N·m/kg, RT: 0.21 [0.08,0.34] N·m/kg, p < .001), and dynamic balance (YBT composite scores, mean differencepost-pre [95% CI], TT: 4.9 [-0.3, 10.2]%, RT: 5.2 [2.4,8.0]%, p = .001). No difference between groups was found. Conclusion: Trampoline training can be as effective as resistance training for improving knee muscles strength and dynamic balance in young men and women."
43,"Purpose: A vertical jump (VJ) is a common task performed in several sports, with the height achieved correlated to skilled performance. Loaded VJs are often used in the training of recreational and professional athletes. The bilateral deficit (BLD), which refers to the difference between the heights achieved by a bilateral jump and the sum of two unilateral jumps, has not been reported for loaded jumps and the findings for unloaded jumps are inconclusive. The purpose of this study was threefold: (a) to quantify and compare BLD in countermovement (CMJ) and squat jumps (SJ), (b) to explore the effects of an additional 10% of body weight (BW) load on the BLD in both CMJ and SJ, and (c) examine the relationship between magnitude of BLD and jump performance in both jumps and conditions. Methods: Forty participants (22 for CMJ and 18 for SJ) performed a bilateral jump and unilateral jumps on each leg with and without an added load equivalent to 10% of each participant’s bodyweight. Results: BLD was evident in all conditions, with CMJ BLD values nearly double those for the SJ. The extra load did not affect the magnitude of BLD. BLD had a significant correlation with unilateral jump height, expect for the 110%BW SJ. Conclusions: BLD is present in SJs and CMJs at both loaded and unloaded conditions. The SJs have about half of the BLD observed in CMJs regardless of additional load. Participants who had higher single leg jumps seemed to also have higher BLDs, but there was no evidence of association between the bilateral jump height and BLD."
44,"Purpose: The purpose of this study was to investigate the differences in metabolic responses between the track and the treadmill (1% inclination) running. The latter is recommended for use in laboratory settings to mimic outdoor running. Method: Seventeen male endurance athletes (mean 25.8, s = 3.8 years) performed 4-min running bouts on an indoor track and the treadmill. Results: At all speeds (11, 13, and 15 km·h-1) athletes showed better economy on the track running compared to the treadmill expressed as oxygen (7.9%, 5.2%, and 2.8%) and caloric (7.0%, 5.3%, and 2.6%) unit cost. Rating of perceived exertion was evaluated substantially higher at all speeds on the treadmill (F(1,16) = 31.45, p < .001, <U+03B7>2p = .663) compared to running on the track. Participants presented lower heart rate (F(1,16) = 13.74, p = .002, <U+03B7>2p = .462) on the track at the speed of 11 and 13 km·h-1 compared to the treadmill, but not at 15 km·h-1 (p = .021). Conclusions: We conclude that constant inclination (i.e.. 1%) during the treadmill test might not be suitable to reproduce comparable effort to running on the track; rather, there is an optimal treadmill inclination for different intensities to reproduce similar effort compared to the track running."
45,"Purpose: The present study aimed to compare the vertical ground reaction force responses during the performance of the stationary running water-based exercise with and without equipment at different cadences by elderly women. Method: Nineteen elderly women (age: 68.6 ± 5.0 years; body mass: 69.0 ± 9.5 kg; height: 154.9 ± 5.6 cm) completed one session consisting of the performance of the water-based stationary running with elbow flexion and extension immersed to the xiphoid process depth. The exercise was performed in three conditions, without equipment, with water-floating and with water-resistance equipment, at three cadences (80 b·min-1, 100 b·min-1 and maximal) in a randomized order. Peak and impulse of vertical ground reaction force were collected during the exercise using an underwater force plate. Repeated measures two-way ANOVA was used (a = 0.05). Results: Peak vertical ground reaction force (p < .001) and impulse (p = 0.002) resulted in lower values for the water-floating use (0.42–0.48 BW and 0.07–0.13 N.s/BW) in comparison to the water-resistance equipment use (0.46–0.60 BW and 0.09–0.16 N.s/BW) and to the non-use of equipment (0.45–0.60 BW and 0.07–0.17 N.s/BW), except for the impulse at the maximal cadence. In addition, peak vertical ground reaction force at 80 b·min-1 (p = .002) and impulse at the maximal cadence (p < .001) showed lower values compared to the other cadences. Conclusion: The use of water-floating equipment minimizes the vertical ground reaction force during the stationary running water-based exercise performed by elderly women regardless of the cadence."
46,"Purpose: This study examined the test-retest reliability and feasibility of select fitness assessments in 7–12 year old children on the autism spectrum. Method: Participants (N = 14; n = 1 female; Mage = 9.5 ± 1.7 years) completed 7 fitness assessments, administered in a random order, on two occasions: Bruce protocol; Modified 6-minute walk test (M6MWT); Wingate anaerobic cycling test; muscle power sprint test (MPST); sit & reach; standing long jump; and grip strength. Intraclass correlations (two-way mixed with absolute agreement) were computed to examine test-retest reliability. Feasibility was assessed by questionnaire following the first administration of each test. Results: The Wingate (ICC = .956), standing long jump (ICC = .925), grip strength (ICC = .913), and sit and reach (ICC = .829) tests demonstrated good- to- excellent reliability, while the Bruce protocol (ICC = .811), M6MWT (ICC = .510), and MPST (ICC = .703) demonstrated moderate- to- good reliability based on the 95% confidence intervals of the ICC. All tests demonstrated assessor-rated feasibility scores of 70/100 or higher and child-rated feasibility scores of 66/100 or higher. Conclusion: The results demonstrate moderate- to excellent test-retest reliability for select fitness tests. Short, single-instruction (e.g., standing long jump) tests may be more reliable than lengthier assessments (e.g., M6MWT) in this population. Implications of this work include the ability of practitioners and researchers to feasibly and reliably measure the fitness of school-aged children on the autism spectrum for ongoing health and behavioural monitoring and intervention purposes."
47,"Purpose: Given the unequal distribution of physical activity (PA) opportunities across middle schools, alternative options for promoting it should be explored. Faith-based schools are positioned to offer religious-themed PA interventions, yet few have been reported. We replicated previous research by investigating the effects of the Physical Activity for Lent (PAL) program on change in step count (<U+0394>PA) and its associations with religiosity, enjoyment, and motivation (four subscales). Method: Over the 6-week Lenten season, three Catholic middle schools’ students (n = 128) participated in a randomly allocated controlled crossover trial of a pedometer-based virtual journey that followed Jesus’s life path. We used the Reliable Change Index (RCI), general linear mixed models, and logistic regression to identify changes (pre- to post-Lent) in the independent variables, and their association with <U+0394>PA overall and of being in the highest <U+0394>PA tertile. Results: Between 11.6% (religiosity) and 34.7% (external regulation) of participants’ scores changed. School (School 3 > Schools 1 and 2 by ~2,400 steps/day, p < .001) and grade (6th grade > 7th and 8th grades by ~2,500 steps/day, p < .001) – but not religiosity, enjoyment, or motivation – were significant predictors of <U+0394>PA. As RCI for intrinsic motivation and identified regulation increased, students were more (OR = 2.49) and less (OR = 0.74) likely, respectively, to be in the high <U+0394>PA tertile. Conclusion: Desirable <U+0394>PA was situational (i.e., school, grade) and highest <U+0394>PA tertile was associated with autonomous motivation. Faith-based PA interventions may need to include additional components to realize even greater gains."
48,"Purpose: Children who do not learn their fundamental motor skills (FMS) are more likely to be unskilled, sedentary adults. By consequence, it behooves those teaching physical education to put in place mechanisms that promote as well as motivate children to master their FMS. One approach to achieving this goal is through the adoption of mastery motivational climates (MMC) in physical education. The purpose of this study was to determine the effects of a year-long (9-month) MMC physical education program on preschool children’s FMS learning. Method: Participants (N = 96, MMC = 58, Comparison = 38) completed the Test of Gross Motor Development-Third Edition prior to and after intervention. Intact classrooms were randomly assigned to either a MMC or comparison group. A repeated measures nested MANOVA was used to test changes by group. Follow-up measurements included univariate repeated measures and simple effects analyses. Results: There were no significant multivariate differences based on class membership (p = .249), indicating the nested structure was not associated with any meaningful differences in test scores. There was a significant multivariate difference based on the interaction of time (pre- versus post-test) and group (p < .001). Both locomotor and ball skills significantly varied between groups and across time. Children in both groups improved from pre-test to post-test, but the rate of improvement was significantly greater for the MMC group. Conclusions: A year-long MMC intervention is beneficial for improving children’s FMS."
49,"Purpose: The purpose of this study was to compare the acute effects of general warm-up (GWU) and GWU plus dynamic stretching (GWU + DS) on endurance running performance in well-trained male runners. Method: The endurance running performances of eight well-trained long-distance male runners were assessed on a treadmill after 2 types of intervention for 5 min after running on the treadmill at a velocity equivalent to 70% maximal oxygen uptake (V<U+0307>O2max) in each athlete for 15 min. The interventions were GWU and GWU + DS. In the GWU + DS intervention, dynamic stretching was performed for ten repetitions as quickly as possible for the five muscle groups of the lower extremities. The total duration of the dynamic stretching was 3 min and 45 s. Endurance running performance was assessed at 1 min 15 s after the dynamic stretching. The endurance running performance was evaluated by the time to exhaustion (TTE) during running at a velocity equivalent to 90% V<U+02D9>O2max in each athlete. Results: The TTE (640.6 ± 220.4 s) after GWU + DS intervention was significantly (d = 1.02, p = .03) shorter than that (760.6 ± 249.1 s) after GWU intervention. Conclusions: The results demonstrated that GWU + DS intervention impaired immediate endurance performance of running at a velocity equivalent to 90% V<U+02D9>O2max in well-trained male runners compared with GWU intervention. Thus, we are not able to recommend that well-trained runners and their coaches use the protocol for GWU + DS described in this study during actual warm-ups."
50,"Purpose: The purposes of the present study were to (a) compare context-specific conceptions of friendship quality in youth sport and music, and (b) determine how friendship quality is related to motivational beliefs in sport and music. Method: Adolescents (N = 366; Mage = 12.9, SD = 1.0) who were involved in both organized sport and music completed measures of domain-specific friendship quality, perceived competence, enjoyment, anxiety, and motivational orientation. Results: For purpose one, a repeated-measures MANOVA revealed that (a) boys and girls rated their best sport friends higher in self-esteem enhancement and supportiveness than their best music friends, (b) boys rated their best sport friends higher in loyalty and intimacy, things in common, companionship and pleasant play, and conflict resolution than their best music friends, (c) girls rated positive friendship quality dimensions higher than boys, and (d) there were no domain or gender differences in friendship conflict. For purpose two, structural equation modeling revealed that (a) for sport, positive friendship quality dimensions were directly associated with perceived competence and indirectly associated with enjoyment, anxiety, and motivational orientation, and (b) for music, positive friendship quality and friendship conflict were related to competence motivation variables. Conclusion: Collectively, findings indicate domain differences in friendship quality and the relationship between friendship quality and motivational outcomes in sport and music. Despite some domain differences, findings demonstrate the significance of friendship quality for adolescents involved in sport and music."
51,"Purpose: This study aims to analyze changes in Maximum Inspiratory Pressure (MIP), lung function, cardiorespiratory fitness, and blood pressure, in 10 healthy active elderly women, following 7 weeks of inspiratory muscle training (IMT) combined with a multicomponent training program (MCTP). The association among these health parameters, their changes after training (deltas), and the influence of MIP at baseline (MIPpre) are also considered. Methods: IMT involved 30 inspirations at 50% of the MIP, twice daily, 7 days a week, while MCTP was 1 hr, twice a week. MIP, lung function (FVC, FEV1, FEV1/FVC, FEF25-75%, PEF), 6MWT, and blood pressure (SBP, DBP), jointly with body composition, were assessed before and after the intervention. Results: Seven weeks were enough to improved MIP (p = .019; d = 1.397), 6MWT (p = .012; d = .832), SBP (p = .003; d = 1.035) and DBP (p = .024; d = .848). Despite the high physical fitness (VO2 peak: M = 23.38, SD = 3.39 ml·min·Kg-1), MIPpre was low (M = 39.00, SD = 7.63 cmH2O) and displayed a significant negative correlation with <U+0394>MIPpre-post (r = -.821; p < .004), showing that women who started the intervention with lower MIP achieved higher improvements in inspiratory muscle strength after training. Conclusions: No significant changes in spirometric parameters may signal that lung function is independent of early improvements in inspiratory muscles and cardiorespiratory fitness. Absence of correlation between physical fitness and respiratory outcomes suggests that being fit does not ensure cardiorespiratory health in active elderly women, so IMT might be beneficial and should supplement the MCTP in this population."
