ID,titles,issue,volume
1173,Transfer of Motivated Improvement in Speed of Reaction and Movement,1,23
1174,Recreational Pursuits in the Old South,1,23
1175,The Professional Football Player: His Vocational Status,1,23
1176,Independence of Reaction and Movement Times and Equivalence of Sensory Motivators of Faster Response,1,23
1177,A Health Survey of Hunter College Freshmen,1,23
1178,A Comparison of the Reliabilities of Methods of Scoring Tests of Physical Ability,1,23
1179,Short Batteries of Tests Measuring Physical Efficiency for High School Boys,1,23
1180,Velocity Measurement of Fast Balls and Curve Balls,1,23
1181,Swimming as an Etiologic Factor in the Incidence of Certain Otorhinologic Conditions in College Men,1,23
1182,Democratic Methodology in Physical Education,1,23
1183,A Scoring Table for Two-Minute Sit-Ups,1,23
1184,The Sit and Reach—A Test of Back and Leg Flexibility,1,23
1185,Research Abstracts,1,23
1186,The Original Table of Contents and Board of Associate Editors,2,23
1187,"Evidence of Play and Exercise in Early Pestalozzian and Lancasterian Elementary Schools in the United States, 1809--1845",2,23
1188,New Objective Strength Tests of Muscle Groups by Cable-Tension Methods,2,23
1189,"Physical Fitness Improvement of a Middle-Aged Man, with Brief Reviews of Related Studies",2,23
1190,"The Relationship of Grip Strength to Stature, Somatotype Components, and Anthropometric Measurements of the Hand",2,23
1191,"Health Education as a Requirement for Certification of Secondary School Teachers In Academic Fields, Physical Education, Health and Physical Education, and School Health Education",2,23
1192,A Determination of Concepts of Healthful Living and Their Relative Importance for a General Course in College Health,2,23
1193,"Ability in the Standing Broad Jump of Elementary School Children 7, 9, and 11 Years of Age",2,23
1194,"An Analytical Frequency Study of the Content of the Research Quarterly, 1930—1949",2,23
1195,A Study of the Relationship of Certain Physical and Emotional Factors to Habitual Poor Posture Among School Children,2,23
1196,The Effect of a Cold Abdominal Spray Upon a Repeat Performance in the 440-Yard Run,2,23
1197,The Effects of Verbal Instruction of Speed and Accuracy Upon the Learning of a Motor Skill,2,23
1198,Research Abstracts,2,23
1199,An Analysis of Water Resistance and Propulsion in Swimming the Crawl Stroke,3,23
1200,The Relationship of Body Size and Shape to Physical Performance,3,23
1201,The Status of Liability for School Physical Education Accidents and its Relationship to the Health Program,3,23
1202,Measuring Speed and Force of Charge of Football Players,3,23
1203,Force-Time Characteristics of the Sprint Start,3,23
1204,Health Problems of Interest to College Men,3,23
1205,The Construction of a Field Hockey Test for Women Physical Education Majors,3,23
1206,"Health Interests of 10,000 Secondary School Students",3,23
1207,"Relationship of the War-Time Navy Physical Fitness Test to Age, Height, and Weight",3,23
1208,The Influence of Ascorbic Acid in Minimizing Post-Exercise Muscle Soreness in Young Men,3,23
1209,The Effect of Weight Training on Speed of Movement,3,23
1210,Research Abstracts,3,23
1211,The Original Table of Contents and Board of Associate Editors,3,23
1212,A Study of the Validity of the Dyer Backboard Test and the Miller Forehand-Backhand Test for Beginning Tennis Players,1,24
1213,The Professional Status of Head Coaches of Athletics in Colleges and Universities,1,24
1214,Some Notes on a College Proficiency Test in Hygiene,1,24
1215,Influence of Emotional Tension on Speed of Reaction and Movement,1,24
1216,Leg Lift Strength: A Comparison of Measurement Methods,1,24
1217,The Relationship between Bilateral Contour Asymmetry in the Human Body in Standing and Walking,1,24
1218,A Job Analysis of Selected Public School Physical Education Directors,1,24
1219,A Nation-wide Survey Analysis of Major Administrative Problems in Required College Physical Education Programs,1,24
1220,Sociometric Status and Athletic Ability of Junior High School Boys,1,24
1221,Achievement Levels in Tennis Knowledge and Skill for Women Physical Education Major Students,1,24
1222,Initial Body Position and Total Body Reaction Time,1,24
1223,An Experiment in Social Dance Testing,1,24
1224,A Study of the Effects of Prescribed Strenuous Exercises on the Physical Efficiency of Women,1,24
1225,Stratified Sampling in Determining Significant Differences in Recreational Participation among Students in Institutions with unlike Curricula,1,24
1226,Research Abstracts,1,24
1227,The Original Table of Contents and Board of Associate Editors,1,24
1228,The Composite Criterion and its Relation to Factor Analysis,2,24
1229,Beginning Badminton Written Examination,2,24
1230,The Court Ball Game of the Aboriginal Mayas,2,24
1231,The Oxygen Requirement of Walking and Running,2,24
1232,Dynamic Kinesthetic Perception and Adjustment,2,24
1233,Duties of the State Directors of Health and Physical Education,2,24
1234,The Effect of Posture on the Brachial Sphygmogram as an Indicator of Cardiovascular Condition,2,24
1235,Constructing an Instrument for Evaluating Attitudes toward Intensive Competition in Team Games,2,24
1236,Kinesthesis in Relation to the Learning of Selected Motor Skills,2,24
1237,The Differential Effects of the Development of Athletic Ability of a High Order,2,24
1238,The Relationship of Extreme Somatotypes to Performance in Motor and Strength Tests,2,24
1239,A Survey of 504 Families to Determine the Relationships between Certain Factors and the Nature of the Family Recreation Program,2,24
1240,Research Abstracts,2,24
1241,The Original Table of Contents and Board of Associate Editors,2,24
1242,A Gross Motor Rhythm Test,3,24
1243,Health and Physical Education Program for Tennessee High School Boys,3,24
1244,Dynamic Balance in Adolescent Boys,3,24
1245,Student Injuries in Secondary Schools in Oregon,3,24
1246,Determining Healthy Growth for 4-H Club Members,3,24
1247,Administrative Practices in Competitive Athletics in Midwestern Colleges,3,24
1248,Baseball Classification Plan for Boys,3,24
1249,"Weight Training in Relation to Strength, Speed, and Co-ordination",3,24
1250,Flexibility Measurements of College Women,3,24
1251,Substitution of ROTC for College Physical Education,3,24
1252,Kinesthetic Acuity and Balance Related to Wrestling Ability,3,24
1253,Critical Evaluation of Selected Physical Education Films,3,24
1254,Methods of Evaluating Student Teaching in Physical Education,3,24
1255,Attitudes toward Athletic Competition in Elementary Schools,3,24
1256,Blackout Interval during Eye Blinks,3,24
1257,Leisure-Time Activities of Langston University Faculty Members,3,24
1258,Research Abstracts,3,24
1259,The Original Table of Contents and Board of Associate Editors,3,24
1260,The Original Table of Contents and Board of Associate Editors,4,24
1261,Attitudes of Women at the University of Michigan Toward Physical Education,4,24
1262,Present Practices in Health Instruction in California Secondary Schools,4,24
1263,Preparation of Teachers of Health in Minnesota,4,24
1264,Landing Force in a Portable Collapsible Jumping Pit Compared with that in Conventional Jumping Pits,4,24
1265,"Job Analysis in Health, Physical Education, and Recreation",4,24
1266,Concepts of Healthful Living of Functional Value in the General Education of Elementary School Pupils,4,24
1267,Comparison of Testers and Subjects in Administering Physical Fitness Index Tests,4,24
1268,"Effects of Physical Training on Cardiac Output at Ground Level and at 15,000 Feet Simulated Altitude",4,24
1269,"Inter-relation of Maximum Pulse Rate During Moderate Exercise, Recovery Pulse Rate, and Post-Exercise Blood Lactate",4,24
1270,Classification of Emory University Male Freshmen in Physical Education Classes,4,24
1271,A Golf Knowledge Test,4,24
1272,Relationship of Physical Fitness to Success in College and to Personality,4,24
1273,Effects of Posture and Muscular Exercise on the Electrocardiogram,4,24
1274,Research Abstracts,4,24
1275,Life and Honorary Members,4,24
1276,1953-54 Representative Assembly,4,24
1277,Index For Volume 24 (1953),4,24
1278,Athletic Achievement and the Personal and Social Adjustment of High School Boys,1,25
1279,A Comparative Study of Motor Fitness Tests,1,25
1280,Critical Examination of Sex Education in the Elementary School,1,25
1281,A Test of Softball Batting Ability,1,25
1282,Influence of Athletic Training on the Resting Cardiovascular System,1,25
1283,Visual Movements of Batters,1,25
1284,Teacher Needs in Health Education,1,25
1285,"Influence of Exercises, Emotional Stress, and Age on Static Neuromuscular Tremor Magnitude",1,25
1286,Changes in Minimum Certification Requirements of Physical Education Teachers in 19 States since 1947,1,25
1287,Relationship between Somatotype and Motor Fitness in Women,1,25
1288,Learning Rate of Beginning Swimmers,1,25
1289,Relation of Breakfast Regimen to Control of Body Weight,1,25
1290,Physical Activity Experience and Interests of College Women,1,25
1291,Research Abstracts,1,25
1292,The Original Table of Contents and Board of Associate Editors,1,25
1293,Selection of Men Teachers for Positions in High School Physical Education,2,25
1294,Relationship of Strength and Anthropometric Measures to Various Arm Strength Criteria,2,25
1295,Nation-Wide Survey of Core Curricular Content in Physical Education for College Women,2,25
1296,Prevalence of Certain Harmful Health and Safety Misconceptions among Fifth- and Sixth-Grade Children,2,25
1297,Time-Velocity Equations and Oxygen Requirements of “All-Out” and “Steady-Pace” Running,2,25
1298,Minimum Muscular Fitness Tests in School Children,2,25
1299,Volleyball Skills of Junior High School Students as a Function of Physical Size and Maturity,2,25
1300,On the Use of the Mean and Median in Stop Watch Timing,2,25
1301,Acute Effects of Smoking on Physical Endurance and Resting Circulation,2,25
1302,An Inexpensive Gravity Reaction Time Device,2,25
1303,A Study of Tests of Kinesthesis,2,25
1304,Rate of Learning in Relation to Spacing of Practice Periods in Archery and Badminton,2,25
1305,Research Abstracts,2,25
1306,The Original Table of Contents and Board of Associate Editors,2,25
1307,Test of Motor Ability for College Men,3,25
1308,Spectator Problems in Secondary School Athletics,3,25
1309,Quality of Administrative Provisions for Physical Education in New York State,3,25
1310,Placement of the Gravital Line in Antero-Posterior Standing Posture,3,25
1311,Health Education as a Requirement for Certification of Secondary School Teachers,3,25
1312,"Racial Differences in the Influence of Motivation on Muscular Tension, Reaction Time, and Speed of Movement",3,25
1313,An Anthropometrical Study of Some Big Ten Varsity Wrestlers,3,25
1314,Personality and its Relationship to Success in Professional Baseball,3,25
1315,National Practices on Release of Children during School Hours to Receive Private Dental Care,3,25
1316,"Relationship of Arm Strength, Weight, and Length to Speed of Arm Movement",3,25
1317,Special Conditioning Exercises for Students with Low Scores on Physical Fitness Tests,3,25
1318,Effect of Blinking upon Reaction-Time Measures,3,25
1319,Extramural Competition and Physical Education Activities for College Women,3,25
1320,Recreation Education Courses in California Colleges and Universities,3,25
1321,Research Abstracts,3,25
1322,Announcing a New Section,3,25
1323,The Original Table of Contents and Board of Associate Editors,3,25
1324,Supervision of Physical Education in the Elementary School,4,25
1325,Physical Education Interests and Needs of University of Washington Women in Service Classes,4,25
1326,Comparison of Instruments for Recording Muscle Strength,4,25
1327,A Factorial Analysis of Motor Co-ordination,4,25
1328,Inventory to Determine Attitudes of College Women toward Physical Education and Student Services of the Physical Education Department,4,25
1329,"Measuring Selected Motor Skills in Fourth, Fifth, and Sixth Grades",4,25
1330,Achievement Levels in Basketball Skills for Women Physical Education Majors,4,25
1331,Relation of Kinesthetic Perception to Motor Learning,4,25
1332,Some Aspects of Evaluation in a Health Education Workshop,4,25
1333,Some Physiologic Effects of Isometric Work in Man,4,25
1334,Notes & Comments,4,25
1335,Research Abstracts,4,25
1336,Correction,4,25
1337,1954–55 Representative Assembly,4,25
1338,The Original Table of Contents and Board of Associate Editors,4,25
1339,Recreation and the Aging Process,1,26
1340,Relation of Personal Success in Intercollegiate Athletics to Certain Aspects of Personal Adjustment,1,26
1341,Evaluation of a Basic Skills Curriculum for Women Students of Low Motor Ability at the University of Washington,1,26
1342,Relation of Jump and Reach Measures of Power to Intelligence Scores and Athletic Performance,1,26
1343,Two and Three-Dimensional Slide Images Used with Tachistoscopic Training Techniques in Instructing High School Football Players in Defenses,1,26
1344,Prevalence of Certain Harmful Health and Safety Misconceptions among Prospective Elementary Teachers,1,26
1345,Effects of a Combative Sport upon Personality Dynamics as Measured by a Projective Test,1,26
1346,Relationship of Body Weight to Strength Body Weight Ratio in Championship Weightlifters,1,26
1347,Standardization of a Volleyball Knowledge Test for College Men Physical Education Majors,1,26
1348,Survey of Swimming Pools in California,1,26
1349,Comparison of Two Methods of Measuring Strength of Selected Muscle Groups in Children,1,26
1350,Analysis of Techniques of the Golf Drive,1,26
1351,Reaction Time to Light Stimuli in the Peripheral Visual Field,1,26
1352,Influence of Order of Exercise Bouts upon Neuromuscular Tremor,1,26
1353,Relation of Maximum Back and Leg Strength to Back and Leg Strength Endurance,1,26
1354,A Sociometric Study of Motivated and Non-Motivated Bowling Groups,1,26
1355,Construction of Equivalent Forms of an Attitude Scale,1,26
1356,"Notes: Sportsmanship Attitudes of Sixth, Seventh, and Eighth Grade Boys",1,26
1357,Research Abstracts,1,26
1358,The Original Table of Contents and Board of Associate Editors,1,26
1359,Forces in Swimming Two Types of Crawl Stroke,2,26
1360,Effect of Prescribed Abdominal Exercises on Dysmenorrhea in College Women,2,26
1361,Prediction of World Records in Running Sixty Yards to Twenty-Six Miles,2,26
1362,Effect of Systematic Horizontal-Ladder Exercises upon Upper Body Strength of Third-Grade Children,2,26
1363,Selecting the Content of a Health Education Course on the Basis of the Needs of Students,2,26
1364,Relation of Charging Time to Blocking Performance in Football,2,26
1365,Repeated Volleys Tests for Women's Volleyball,2,26
1366,Evaluation of Men's Physical Education Service Programs in Higher Education in New York State,2,26
1367,Measurable Traits of Personality and Incidence of Somatic Illness among College Students,2,26
1368,Relationship of Selected Tests with Energy Metabolism and Swimming Performance,2,26
1369,Group Movement and Growth in a Physical Education Class,2,26
1370,A Softball Knowledge Test,2,26
1371,Teaching Load of Women in Physical Education in Colleges and Universities,2,26
1372,"Studies Reported by the Clearinghouse for Research in Child Life, 1948–51",2,26
1373,Warm-up and Fatigue in Junior High School Sprints,2,26
1374,Research Abstracts,2,26
1375,The Original Table of Contents and Board of Associate Editors,2,26
1376,Strength Decrements from Carrying Various Army Packs on Military Marches,3,26
1377,Strength Decrements from Wearing Various Army Boots and Shoes on Military Marches,3,26
1378,Effect of Trained and Untrained Testers upon the Administration of Grip Strength Tests,3,26
1379,A Factor Analysis of Selected Wartime Fitness Tests,3,26
1380,Steady-Pace vs. Variable Speed in High School 220-Yard Run,3,26
1381,Influences of Physical Education Activities on Motor Ability and Physical Fitness of Male Freshmen,3,26
1382,Vitamin B12 : A Review,3,26
1383,Analysis of Results from the Kraus-Weber Test of Minimum Muscular Fitness in Children,3,26
1384,Measurement of Kinesthesis,3,26
1385,Emotional Responses of Boys to Little League and Middle League Competitive Baseball,3,26
1386,Game Results as a Criterion for Validating Basketball Skill Test,3,26
1387,Emotion in Fitness Tests,3,26
1388,Notes: Professional Courses in the Prevention and Treatment of Athletic Injuries at American Universities and Colleges,3,26
1389,Notes: Predictive Ability of a Selected Basketball Test,3,26
1390,"Comments: Comments on the Article by Alfred W. Hubbard and Charles N. Seng, “Visual Movements of Batters,” Research Quarterly, 25: 42–57 (March 1954)",3,26
1391,Comments: Rebuttal to above Comments on “Visual Movements of Batters”,3,26
1392,Research Abstracts,3,26
1393,The Original Table of Contents and Board of Associate Editors,3,26
1394,Attitude of University of Washington Women Students toward Physical Education Activity,4,26
1395,Objective Determination of Resistance Load for Ten Repetitions Maximum for Quadriceps Development,4,26
1396,Influence of Wheat Germ Oil as a Dietary Supplement in a Program of Conditioning Exercises with Middle-Aged Subjects,4,26
1397,Instruments to Measure Strength,4,26
1398,Aggression in Boxers and Wrestlers as Measured by Projective Techniques,4,26
1399,Relationship between Strength Loss in Pack Carrying and Certain Motor-Physical Fitness Criteria,4,26
1400,Comparative Analysis of Methods of Scoring Tests of Motor Learning,4,26
1401,Cardiovascular Measurements on College-Age Smokers and Non-Smokers,4,26
1402,Health and Physical Education Program for Boys in Ohio High Schools,4,26
1403,Comparisons of Reaction-Time Measures to a Visual Stimulus and Arm Movement,4,26
1404,Notes: Russian Studies of Vision in Relation to Physical Activity and Sports,4,26
1405,Notes: Swimming Classification Test,4,26
1406,"Notes: Probability as Applied to the Design of Experiments in Health, Physical Education, and Recreation",4,26
1407,Research Abstracts,4,26
1408,"American Association for Health, Physical Education, and Recreation",4,26
1409,The Original Table of Contents and Board of Associate Editors,4,26
1410,A Factorial Analysis of Athletic Ability,1,27
1411,Use of Force-Time Graphs for Performance Analysis in Facilitating Motor Learning,1,27
1412,Physical Education Teachers' Contributions to Guidance in Minnesota Secondary Schools,1,27
1413,Job Analysis of Women Supervisors of Physical Education in United States Public Schools,1,27
1414,"Effects of Systematic, Heavy Resistive Exercise on Range of Joint Movement in Young Male Adults",1,27
1415,A Health and Safety Attitude Scale for the Seventh Grade,1,27
1416,Comparison of Attitudes toward Intensive Competition for High School Girls,1,27
1417,"Relationship between Height, Jumping Ability, and Agility to Volleyball Skill",1,27
1418,Relationship between Psychological Capacities and Success in College Athletics,1,27
1419,"Comparison of Fencers and Nonfencers by Psychomotor, Space Perception and Anthropometric Measures",1,27
1420,Studies of Little League and Middle League Baseball,1,27
1421,Metabolic Cost of Simulated Sled Pulling on the Treadmill,1,27
1422,Notes: Undergraduate Requirements in Anatomy and Physiology for Physical Education Majors in Eighty-three Colleges and Universities,1,27
1423,"Notes: American Doctoral Dissertations on Health, Physical Education, and Recreation in Foreign Countries",1,27
1424,Notes: Grading Practices in the Women's College Service Program,1,27
1425,Research Abstracts,1,27
1426,The Original Table of Contents and Board of Associate Editors,1,27
1427,Unilateral Activity and Bone and Muscle Development in the Forearm,2,27
1428,Study of Four Programs of Heavy Resistance Exercises for Development of Muscular Strength,2,27
1429,Effect of Preliminary Passive Warming on Swimming Performance,2,27
1430,Proposed Method for Analyzing Sociometric Data,2,27
1431,Age Differences and Inter-relationships between Skill and Learning in Gross Motor Performance of Ten- and Fifteen-Year-Old Boys,2,27
1432,Evaluation of Motor Learning When Performance Levels are Heterogeneous,2,27
1433,Influence of Puberal Development on Responses to Motivated Exercise,2,27
1434,"Comparative Analysis of Items of Interest in Marriage and Parenthood of 4,000 Students in Junior and Senior Colleges",2,27
1435,Cross Transfer Effects of Training on Strength and Endurance,2,27
1436,A Factor Analysis of Tests of Endurance,2,27
1437,"Comparative Effects of Rest, Exercise, and Cold Spray upon Performance in Spot-Running",2,27
1438,Relation of Certain Physical Traits and Abilities to Motor Learning in Elementary School Children,2,27
1439,Relationship of Occupancy and Adequacy of Student Housing to Incidence of Acute Upper Respiratory Conditions,2,27
1440,Comparison of Two Methods of Teaching Beginning Basketball,2,27
1441,Notes: Evaluation of Physical Education in North Carolina High Schools,2,27
1442,"Comments: Observations regarding Elvera Skubic's Study, “Emotional Responses of Boys to Little League and Middle League Competitive Baseball,” Research Quarterly, 26: 342–352 (Oct. 1955)",2,27
1443,Research Abstracts,2,27
1444,The Original Table of Contents and Board of Associate Editors,2,27
1445,The Original Table of Contents and Board of Associate Editors,3,27
1446,"Relative Contributions of Modern Dance, Folk Dance, Basketball, and Swimming to Motor Abilities of College Women",3,27
1447,Recent Advances in Measurement and Understanding of Volitional Muscular Strength,3,27
1448,Physiological Maturity of Little League Baseball Players,3,27
1449,Selection and Standardization of Strength Tests for 4-H Club Members,3,27
1450,Standardization of Flexibility Tests for 4-H Club Members,3,27
1451,Construction of Knowledge Tests in Selected Physical Education Activities for College Women,3,27
1452,Reliability and Validity of a Motor Ability Test for High School Girls,3,27
1453,An Exploratory Study of the Ballistocardiogram As a Measure of Circulatory Fitness,3,27
1454,Roentgenographic Measures of Leg Muscle Size and Ankle Extensor Strength of Seven-Year-Old Children,3,27
1455,Effect of Position of Forearm on Strength of Elbow Flexion,3,27
1456,Comparative Study of Certain Behavior Characteristics of Participant and Non-Participant Boys in Little League Baseball,3,27
1457,Performance of Selected Groups of Male College Students on the Reynolds' Balance Test,3,27
1458,Characteristic Likenesses and Differences Between Skilled and Non-Skilled Performance of Standing Broad Jump,3,27
1459,Complete Heart Block in a Distance Runner,3,27
1460,Fry Analyzer for Simple and Rapid Respiratory Gas Analysis,3,27
1461,Physical Education as a Phase of the College Program of General Education,3,27
1462,Some Precautions in Exercise Metabolism Experiments,3,27
1463,Research Abstracts,3,27
1464,Comparison of Upper Arm Measurements by Use of Roentgenogram and Anthropometric Techniques,4,27
1465,Comparison of the Effectiveness of Three Methods of Teaching Beginning Bowling,4,27
1466,"Relationship between Two Motor Educability Tests, a Strength Test, and Wrestling Ability after Eight-Weeks' Instruction",4,27
1467,Effects of Aqua Lung on Circulation of Adults While on Dry Land,4,27
1468,Electromyographic Study of Selected Muscles Involved in Movements of Upper Arm at Scapulohumeral Joint,4,27
1469,"Changes in Body Fat, Estimated from Skinfold Measurements of College Basketball and Hockey Players during a Season",4,27
1470,"New Health Education Implications in the Association of Smoking, Lung Cancer, and Heart Disease",4,27
1471,Development of Strength in High School Boys by Static Muscle Contractions,4,27
1472,Job Analysis of the Duties of Athletic Directors,4,27
1473,Accident Experience with Trampolines,4,27
1474,Research Abstracts,4,27
1475,Correction,4,27
1476,"American Association for Health, Physical Education, and Recreation",4,27
1477,The Original Table of Contents and Board of Associate Editors,4,27
1478,Relationship between Selected Postural Divergencies and Motor Ability,1,28
1479,Relationship of Static Equilibrium to Ability in Motor Activities,1,28
1480,"Comparative Analysis of Eugene, Oregon, Elementary School Children Using the Kraus-Weber Test of Minimum Muscular Fitness",1,28
1481,Effects of Isometric and Isotonic Exercises on Elbow Flexor Muscle Groups,1,28
1482,Effects of Cold Showers on Circulation of Conditioned and Non-Conditioned Men,1,28
1483,Stress Adaptation Through Exercise,1,28
1484,Improvement in Jumping Performance Due to Preliminary Exercise,1,28
1485,Prediction of Performances on Physical Fitness Tests by Means of Somatotype Ratings,1,28
1486,Relationship between Measurements of Field of Motion Perception and Basketball Ability in College Men,1,28
1487,Effect of Variations of Delivery and Aim on Bowling Achievement of College Women,1,28
1488,Notes: Relationship between Maximum Isometric Tension and Maximum Isotonic Elbow Flexion,1,28
1489,Research Abstracts,1,28
1490,The Original Table of Contents and Board of Associate Editors,1,28
1491,Strength Decrement of Muscles of Trunk and Lower Extremities from Sub-Maximal Treadmill Running,2,28
1492,Factorial Analysis of Motor Co-ordination Variables for Third and Fourth Grade Girls,2,28
1493,Studies in Human Strength,2,28
1494,Tennis Serve of Advanced Women Players,2,28
1495,Effect of Instruction on Development of Throwing for Accuracy of First Grade Children,2,28
1496,An Experimental Technique for Reporting Recreation Services Rendered on Public Playgrounds,2,28
1497,"Effect of Warm-up Activities on Speed, Strength, and Accuracy",2,28
1498,Measurement of Kinesthetic Perception of Muscular Force with Muscle Potential Changes,2,28
1499,Measurement of Stress Evidenced by College Women in Situations Involving Competition,2,28
1500,Notes: Comparison of Three Manuometers,2,28
1501,Notes: Hygiene of Menstruation: A Study of Policy and Practice in Selected Schools in New York State,2,28
1502,Notes: Professional Preparation of Athletic Coaches in the Public Schools of Minnesota,2,28
1503,Notes: What the High School Senior Knows about Health,2,28
1504,Research Abstracts,2,28
1505,The Original Table of Contents and Board of Associate Editors,2,28
1506,Concepts of Driver Education and Their Relative Importance for a Driver Education Course in the Secondary School,3,28
1507,Extension of the Kraus-Weber Test,3,28
1508,"Linearity of Contributions of Ages, Heights, and Weights to Prediction of Track and Field Performances",3,28
1509,Relationships of Strength and Anthropometric Measures to Physical Performances Involving the Trunk and Legs,3,28
1510,Swimming Power Test,3,28
1511,Selection and Standardization of Speed Tests,3,28
1512,Comparison on Statistical Basis of Achievement in Track and Field Events,3,28
1513,A Time and Motion Study of Competitive Backstroke Swimming Turns,3,28
1514,General Factors or Components of Character as Related to Physical Education,3,28
1515,Measurements of Pulmonary Function in United States Olympic Free Style Wrestlers,3,28
1516,Comparative Study of Physiological Effects of Two Ski-Training Methods,3,28
1517,Ratio of Physical Development as a Factor in Motor Co-ordination of Boys Ages 10–14,3,28
1518,Research Abstracts,3,28
1519,The Original Table of Contents and Board of Associate Editors,3,28
1520,Identification of Some Philosophical Beliefs of Influential Leaders in American Physical Education,4,28
1521,Ten-Year Survey of Physical Fitness Tests at Yale University,4,28
1522,Lateral Dominance in the Teaching of Bowling,4,28
1523,Apparatus Gymnastics Knowledge Test for College Men in Professional Physical Education,4,28
1524,Relationship of Dynamic Balance to Speed and to Ability in Swimming,4,28
1525,Value of Academic Grades in Estimating Student Teaching Success,4,28
1526,Hip Flexibility of College Women as Related to Length of Body Segments,4,28
1527,Effect of Warm-up on Softball Throw for Distance,4,28
1528,Studies of Transfer of Learning in Gross Motor Skills,4,28
1529,Effect of Swimming on the Learning of Selected Gross Motor Skills,4,28
1530,Compensation Practices and Extracurricular Responsibilities of Women High School Physical Education Teachers,4,28
1531,"Laterality in Swimming and Its Relationship to Dominance of Hand, Eye, and Foot",4,28
1532,Effect of Motivational Stress upon Physical Performance,4,28
1533,Biological Changes in American Women in the Last Fifty Years,4,28
1534,Notes: Football Officials Time-Expense-Income Study,4,28
1535,Research Abstracts,4,28
1536,Research Papers,4,28
1537,Funds for Fitness Research,4,28
1538,"American Association for Health, Physical Education, and Recreation",4,28
1539,The Original Table of Contents and Board of Associate Editors,4,28
1540,Critical Incidents in the Behavior of Secondary School Physical Education Instructors,1,29
1541,Validating an Index of Social Adjustment for High School Use,1,29
1542,Depression of Muscle Fatigue Curves by Heat and Cold,1,29
1543,Learning to Juggle: III. A Study of Performance by Two Different Age Groups,1,29
1544,Effect of Slow-Motion Loopfilms on the Learning of Golf,1,29
1545,An Electrocardiographic Study of United States Olympic Free Style Wrestlers,1,29
1546,Effects of a Combative Sport (Amateur Wrestling) on the Kidneys,1,29
1547,Use of Body Components as Reference Standards for Basal Metabolic Rate,1,29
1548,Effect of Repetition upon Speed of Preferred-Arm Extension,1,29
1549,Study of Personality Variables among Successful Women Students and Teachers of Physical Education,1,29
1550,Influence of Perceptual Stimulus Intensity on Speed of Movement and Force of Muscular Contraction,1,29
1551,Group Dynamics as a Methodology for Democratizing Undergraduate Teacher Education in Physical Education,1,29
1552,Comparative Study of Methodologies for Teaching Gymnastics and Tumbling Stunts,1,29
1553,Notes: Proposed Scoring System for Buxton Revision of Kraus-Weber Test,1,29
1554,Notes: The One-Tailed Test in Physical Education Research,1,29
1555,Research Abstracts,1,29
1556,The Original Table of Contents and Board of Associate Editors,1,29
1557,Personality Traits of Athletes as Measured by the MMPI,2,29
1558,Reliability of Certain Skill Tests for Junior High School Girls,2,29
1559,Relationship of Tightness of Pectoral Muscles to round Shoulders in College Women,2,29
1560,Personal Health Knowledge of College Students before Instruction,2,29
1561,Effect of Increasing Back and Abdominal Muscle Strength on Low Back Pain,2,29
1562,Study of Psychic Stress in Freshman College Women,2,29
1563,Cholesterol Studies: A Review,2,29
1564,Effects of Tournament Stress on Electrocardiograms of United States Olympic Free Style Wrestlers,2,29
1565,Relationships of Body Fat to Motor Fitness Test Scores,2,29
1566,Isometric Fatigue Curves in Human Muscle with Normal and Occluded Circulation,2,29
1567,Action Potentials in Unexercised Arm When opposite Arm is Exercised,2,29
1568,Football Starting Signals and Movement Times of High School and College Football Players,2,29
1569,Effect of Warm-Up upon Physical Performance in Selected Activities,2,29
1570,Research Abstracts,2,29
1571,The Original Table of Contents and Board of Associate Editors,2,29
1572,The Original Table of Contents and Board of Associate Editors,3,29
1573,Importance of Relationship Between Various Body Measurements in Performance of the Toe-Touch Test,3,29
1574,Movement and Meaning: Development of a General Theory,3,29
1575,Fitness of Fourth Grade Children,3,29
1576,Estimation of the Reliability of Skill Tests,3,29
1577,Effects of Progressive Weight Training on Health and Physical Fitness of Adolescent Boys,3,29
1578,Factors Affecting Place-Kicking in Football,3,29
1579,"Critical Analysis of Attitude Measurement in Health Education, 1927–57",3,29
1580,A Safety Attitude Scale for the Seventh Grade,3,29
1581,Observations on Frequency and Intensity of Isometric Muscular Effort in Developing Static Muscular Strength in Post-Pubescent Males,3,29
1582,Development and Validation of an Objective Measure of Locomotor Response to Auditory Rhythmic Stimuli,3,29
1583,Relationships of Extreme Body Types to Ranges of Flexibility,3,29
1584,Relationships of Lateral Dominance to Scores of Motor Ability and Selected Skill Tests,3,29
1585,Research Abstracts,3,29
1586,Notes & Comments,3,29
1587,Effectiveness of a General Basic Skills Curriculum for Junior High School Girls,4,29
1588,Two Methods of Weight-Training for Children with Spastic Type of Cerebral Palsy,4,29
1589,Selected Factors Associated with Wrestling Success,4,29
1590,Interests of 4000 High School Pupils in Problems of Marriage and Parenthood,4,29
1591,Analytical Study of School Health Service Practices in the United States,4,29
1592,Venous Blood Pressure Measurements during Exercise by the Strain Gauge and Pressure Amplifier Method,4,29
1593,Psychological Refractory Period in Simple Paired Responses,4,29
1594,Notes: Effect of Vigorous Swimming on Blood Viscosity of Conditioned Subjects,4,29
1595,Comments: Comment on the Article “Influence of Perceptual Stimulus Intensity on Speed of Movement and Force of Muscular Contraction” in the March 1958 Research Quarterly,4,29
